gene,rna_lfc,rna_p,prot_lfc,prot_p,neglog10p,concordant,transcriptomic,proteomic,genomic,score
FGFR2,-1.7184737678855253,5.837633008982972e-41,-0.7335448237624194,1.2184860973579312e-10,34.096910013008056,True,1.7184737678855253,0.7335448237624194,34.096910013008056,0.9437229437229437
KRT8,1.4722151563328048,7.245473803191284e-32,0.6390085765692657,5.2437973300887485e-24,14.69897000433602,True,1.4722151563328048,0.6390085765692657,14.69897000433602,0.8831168831168831
USHBP1,-2.369586645468999,8.411081530809188e-83,-1.276511620501589,9.658350563107682e-40,8.698970004336019,True,2.369586645468999,1.276511620501589,8.698970004336019,0.8809523809523809
GIPC2,-2.00081081081081,4.00574407406519e-37,-1.1336368766527771,5.4219276141784124e-46,7.397940008672037,True,2.00081081081081,1.1336368766527771,7.397940008672037,0.8474025974025974
CLPTM1L,1.0631425543190307,6.560110172981097e-36,0.4678493093727718,2.2242171879743852e-15,28.0,True,1.0631425543190307,0.4678493093727718,28.0,0.841991341991342
BRCA2,0.9582935877053522,5.860892413536073e-24,-0.6666205185000867,1.0839169283557798e-13,11.096910013008056,False,0.9582935877053522,0.6666205185000867,11.096910013008056,0.8203463203463203
DNAJB4,-1.3748913619501852,1.4097121401207341e-42,-0.7954966738856006,5.324868095580947e-50,7.397940008672037,True,1.3748913619501852,0.7954966738856006,7.397940008672037,0.8170995670995671
CYP1A1,-2.5228510863804976,8.321037587922295e-12,-1.0263645891175668,7.866584567834405e-08,6.301029995663981,True,2.5228510863804976,1.0263645891175668,6.301029995663981,0.8127705627705628
PALM,-1.013680445151035,3.4809437245774723e-22,-0.9696119090849056,1.2380727611777358e-54,8.522878745280337,True,1.013680445151035,0.9696119090849056,8.522878745280337,0.8127705627705627
EPHX2,-0.8362745098039213,3.964884919863945e-17,-0.6527203446840458,1.366249657473837e-25,11.221848749616356,True,0.8362745098039213,0.6527203446840458,11.221848749616356,0.8073593073593073
FRY,-0.9291600423953384,3.51013651387744e-28,-0.6797328427348408,1.1444998801478638e-54,8.397940008672037,True,0.9291600423953384,0.6797328427348408,8.397940008672037,0.7813852813852813
SLC12A7,1.103836777954422,8.18271893387543e-35,0.5639003651508854,3.6502366636384775e-25,7.0,True,1.103836777954422,0.5639003651508854,7.0,0.75
VWF,-2.50960254372019,1.529521596722483e-79,-1.2897984246100138,3.857763868900395e-71,5.522878745280337,True,2.50960254372019,1.2897984246100138,5.522878745280337,0.7456709956709957
ADAMTS7,-0.3981054583995762,2.400133285369054e-05,0.6227433298491036,1.6230661339954196e-11,14.397940008672036,False,0.3981054583995762,0.6227433298491036,14.397940008672036,0.7424242424242423
FADS2,0.6380710121886626,1.231994401440602e-06,0.4534085570611826,4.581601917941752e-06,13.69897000433602,True,0.6380710121886626,0.4534085570611826,13.69897000433602,0.7391774891774892
SASH1,-1.7467673555908885,1.6299769879420234e-72,-0.6912928123508054,7.2821364429494165e-78,6.0,True,1.7467673555908885,0.6912928123508054,6.0,0.7391774891774892
SLK,-0.3920429252782202,1.3483469317416342e-11,0.5797844511111625,1.7651017112354172e-19,16.69897000433602,False,0.3920429252782202,0.5797844511111625,16.69897000433602,0.7370129870129869
COL11A1,6.373200847906729,5.055376142922341e-61,0.8752194958960497,6.635354620341527e-19,5.522878745280337,True,6.373200847906729,0.8752194958960497,5.522878745280337,0.7348484848484849
PRDM6,-1.1232008479067286,8.37961671369097e-26,-0.7206984321999979,8.175042321511945e-17,6.045757490560675,True,1.1232008479067286,0.7206984321999979,6.045757490560675,0.7240259740259739
HLA-DRA,-0.595638579756228,2.5899518467520033e-08,-0.4680500976666154,1.1974933594659294e-15,10.045757490560677,True,0.595638579756228,0.4680500976666154,10.045757490560677,0.7132034632034632
FBXL7,-1.041875993640696,6.023886304667616e-30,-0.747150707189899,9.5850947610707e-08,6.0,True,1.041875993640696,0.747150707189899,6.0,0.7067099567099566
GCLC,0.5177397986221504,0.0001204305363771,-0.5205768131050875,8.26763613996649e-14,9.045757490560677,False,0.5177397986221504,0.5205768131050875,9.045757490560677,0.7056277056277056
BAZ1A,0.423558558558561,1.1677621971159145e-07,0.543244763105162,5.408045364616077e-28,10.045757490560677,True,0.423558558558561,0.543244763105162,10.045757490560677,0.698051948051948
SECISBP2L,-1.339867514573399,3.043869320325906e-55,-0.1346335308716218,5.695659771472125e-08,28.221848749616356,True,1.339867514573399,0.1346335308716218,28.221848749616356,0.6937229437229437
APOM,-0.1596343402225759,0.0257946125682478,-1.1444423064405074,1.0387813074919228e-51,11.30102999566398,True,0.1596343402225759,1.1444423064405074,11.30102999566398,0.672077922077922
IRF4,0.6439878113407538,4.317584794967064e-06,0.4548240955136071,3.220424818099719e-09,7.0,True,0.6439878113407538,0.4548240955136071,7.0,0.6525974025974026
HLA-DPB1,-0.5415606783253857,6.703184458407801e-07,-0.2585314303279713,7.683835336775464e-07,16.30102999566398,True,0.5415606783253857,0.2585314303279713,16.30102999566398,0.6515151515151515
MTX1,0.833312135665075,6.801661317055926e-35,0.4055559858761751,1.2173006776943152e-30,6.698970004336019,True,0.833312135665075,0.4055559858761751,6.698970004336019,0.6515151515151515
TUBA1C,1.2952914679385277,1.754020875808829e-33,0.4040903724454104,4.256034279873655e-40,6.045757490560675,True,1.2952914679385277,0.4040903724454104,6.045757490560675,0.6482683982683982
ROBO2,-2.3470667726550065,1.4549059518796977e-33,-0.464368645799884,8.464089010290294e-12,5.522878745280337,True,2.3470667726550065,0.464368645799884,5.522878745280337,0.6482683982683982
CABLES1,-0.9933068362480116,9.037152660071044e-20,-0.3576172891757024,1.551448204900464e-09,6.522878745280337,True,0.9933068362480116,0.3576172891757024,6.522878745280337,0.645021645021645
TUB,-1.1320482246952857,2.109707877180196e-27,-1.5656786861378085,3.5519349701809937e-36,5.154901959985743,True,1.1320482246952857,1.5656786861378085,5.154901959985743,0.6428571428571429
PARVA,-0.7071727609962881,1.626832218816437e-35,-1.0712876351942864,4.598246807353777e-62,5.522878745280337,True,0.7071727609962881,1.0712876351942864,5.522878745280337,0.6417748917748918
SFTPB,-1.083343932167459,4.862064597253692e-10,-0.2570429924917116,0.0014859942110011,7.698970004336019,True,1.083343932167459,0.2570429924917116,7.698970004336019,0.6396103896103895
MPZL2,0.834867514573391,1.2350958276871532e-12,0.1599444453820391,0.0031726395455933,15.221848749616356,True,0.834867514573391,0.1599444453820391,15.221848749616356,0.6298701298701299
CYP2A6,-0.8744647588765235,0.0004848428084446,0.1139143594249335,0.7487697167019187,20.522878745280337,False,0.8744647588765235,0.1139143594249335,20.522878745280337,0.6298701298701299
FAM53B,-0.6816984631690506,1.274139071147765e-29,-0.2462693496703393,3.051328439480487e-05,10.522878745280336,True,0.6816984631690506,0.2462693496703393,10.522878745280336,0.6255411255411255
TLE3,0.5205299417064158,7.615648647359074e-15,0.4764958357066381,8.902574570438699e-43,6.221848749616356,True,0.5205299417064158,0.4764958357066381,6.221848749616356,0.6060606060606061
SH2B3,-0.7513434022257499,5.2719943300852145e-31,-0.4654880791478671,7.020803409797441e-06,6.0,True,0.7513434022257499,0.4654880791478671,6.0,0.604978354978355
FRMD4A,-0.8547297297297263,1.1978072450417644e-52,-0.483121755536552,2.313779213271274e-28,5.522878745280337,True,0.8547297297297263,0.483121755536552,5.522878745280337,0.5984848484848484
ROR1,-1.2727980922098574,2.419610001580059e-36,-0.58914585005383,8.125973597382992e-27,5.154901959985743,True,1.2727980922098574,0.58914585005383,5.154901959985743,0.5974025974025974
SBF2,-0.5722734499205071,6.259987217490889e-23,-0.5667883281103604,2.0893344378857228e-56,5.698970004336019,True,0.5722734499205071,0.5667883281103604,5.698970004336019,0.5963203463203464
AKR1B10,2.8085744568097524,2.8359655816320927e-14,0.2933993278236921,0.2023843489243175,5.522878745280337,True,2.8085744568097524,0.2933993278236921,5.522878745280337,0.5963203463203463
MYNN,-0.088277689454161,0.0338454530569883,0.4851161822747461,1.2308485109286212e-05,11.69897000433602,False,0.088277689454161,0.4851161822747461,11.69897000433602,0.5887445887445888
PDGFC,0.4016507684154771,4.173073169133074e-07,0.3834964467376573,2.9344900901099107e-08,7.397940008672037,True,0.4016507684154771,0.3834964467376573,7.397940008672037,0.5876623376623377
RAD51B,0.2037413884472698,0.0005656601513676,0.4314520963448424,0.0061263493096664,9.522878745280336,True,0.2037413884472698,0.4314520963448424,9.522878745280336,0.5854978354978355
RTEL1,0.6784737678855368,4.08017898166258e-26,0.1142487253860443,0.0410901289184466,15.522878745280336,True,0.6784737678855368,0.1142487253860443,15.522878745280336,0.5822510822510822
DTNB,0.3496157922628509,5.848984151569211e-07,-0.2408820584263331,1.251509128098698e-05,18.221848749616356,False,0.3496157922628509,0.2408820584263331,18.221848749616356,0.5822510822510822
GMFG,-1.3065103338632724,6.789762507780498e-48,-0.4062525449362764,5.498718498989535e-24,5.3979400086720375,True,1.3065103338632724,0.4062525449362764,5.3979400086720375,0.5811688311688311
SYNE1,-1.5482114467408614,5.813089335597035e-50,-0.4949633285729889,7.809145513017696e-23,5.096910013008056,True,1.5482114467408614,0.4949633285729889,5.096910013008056,0.5779220779220778
SYNE1,-1.5482114467408614,5.813089335597035e-50,-0.4853128048028293,0.0394064491208199,5.096910013008056,True,1.5482114467408614,0.4853128048028293,5.096910013008056,0.5757575757575758
NKD2,-1.361706412294648,2.0194213717303773e-30,-0.1471126511457136,0.2890067472743833,7.0,True,1.361706412294648,0.1471126511457136,7.0,0.5703463203463204
ACVR1B,0.5737307896131423,5.4400200163060495e-12,0.230558814654143,0.0178486144459925,8.698970004336019,True,0.5737307896131423,0.230558814654143,8.698970004336019,0.5692640692640693
SSC5D,0.7337890832008487,1.0334288557530472e-10,-0.5102700822587034,1.0990490172735532e-13,5.3979400086720375,False,0.7337890832008487,0.5102700822587034,5.3979400086720375,0.5681818181818181
DVL1,0.3959432962374123,1.6498584230568354e-08,-0.271341291571244,0.007025474778261,9.30102999566398,False,0.3959432962374123,0.271341291571244,9.30102999566398,0.5681818181818181
BAG6,0.4707445680975048,6.660959095423465e-20,0.2230273945048915,1.5375434881628048e-19,11.30102999566398,True,0.4707445680975048,0.2230273945048915,11.30102999566398,0.5681818181818181
SYNE1,-1.5482114467408614,5.813089335597035e-50,-0.4755003610849048,1.5654282038096262e-28,5.096910013008056,True,1.5482114467408614,0.4755003610849048,5.096910013008056,0.5670995670995671
PAX7,3.790683624801272,7.26163495043335e-18,0.2264616816690174,0.3806782882787409,5.698970004336019,True,3.790683624801272,0.2264616816690174,5.698970004336019,0.5638528138528138
NAALADL2,1.1306995230524617,6.244076622276159e-20,0.3282224135995937,2.609710121646157e-07,5.522878745280337,True,1.1306995230524617,0.3282224135995937,5.522878745280337,0.5616883116883117
