gene	log2fc	pval
EMC2	0.1722888366345072	4.1941863639112034e-15
CCN4	0.40623349910866263	4.0805880041659845e-05
TRPS1	0.3052724912580965	6.673376775490532e-10
CHRAC1	0.20493379987941868	8.596924119008385e-08
NCALD	-0.8621181589370065	1.0590374854107904e-30
UBR5	0.2975318531222382	2.608678311046897e-30
MTMR9	-0.20382558344589263	8.435445101364405e-18
DCTN6	-0.20745289364739666	7.563013769689581e-27
GSR	-0.037789401232500824	0.4080256491612511
TNFRSF10A	0.5356326990611122	4.404389133765243e-06
PPP2CB	-0.2455711486076783	6.330539482885603e-08
NEFM	-0.11310723427080527	0.638968592106798
KCTD9	-0.1310991633419839	1.9180123024205e-05
CNOT3	0.22006686812596166	2.9215545769551214e-22
EXOSC5	0.23285753819981442	3.5058212781108725e-19
PAF1	0.3327431273957381	3.845272270927315e-43
STXBP2	-0.20157199385657715	4.740854906969025e-16
ZNF180	-0.07644801220266392	0.6627243316612133
ECH1	-0.02813291730642535	0.5519186835143337
