gene	log2fc	pval
ABCA9-AS1	-0.5841679915209328	2.870477354616701e-05
ABCB1	-1.4310068892421839	5.780715258455488e-24
ABCB10	0.21539745627980622	4.677366535737315e-06
ABCB10P1	0.3230657127715952	0.006370166075725531
ABCB10P3	0.15242978272390034	0.11608801653739866
ABCB10P4	0.08675145733969263	0.06602633222630722
ABCB11	-0.22774509803921816	5.253048539081445e-07
ABCB4	1.6464864864864879	7.508028695593107e-29
ABCB5	-0.4327424483306821	8.802720821104677e-11
ABCB6	1.2549576046634865	1.2783473842006738e-34
ABCB7	0.13260731319554608	0.00013499683118962916
ABCB8	0.4551589825119269	5.916602810924828e-16
ABCB9	1.3285002649708542	2.7949426932501663e-36
ABCC1	0.2620429252782248	1.2595474328364874e-07
ABCC10	0.5882697403285633	2.1498699571895668e-26
ABCC11	1.4377583465818748	5.785058036931061e-17
ABCC12	0.5620561738208798	0.004350074850960793
ABCC13	-2.7969024907260214	3.227421085354371e-37
ABCC2	0.7144568097509261	0.0004434518481093193
ABCC3	2.329213036565978	2.073587919604937e-37
ABCC4	-0.19805246422893497	0.05188836233098511
ABCC5	0.518622151563326	1.4183052481270645e-12
ABCC5-AS1	0.5407657657657656	7.223939487228531e-06
ABCC6	-0.24704822469528231	0.027019105230498525
ABCC6P1	0.5461764705882377	2.276829228073217e-05
ABCC6P2	0.565712771595126	9.623276868344402e-06
ABCC8	-2.071883942766295	2.068339721642063e-14
ABCC9	-0.47903815580286135	3.699810086611782e-33
ABCD1	0.6078033916269217	3.1020074360987065e-17
ABCD1P2	-0.34579491255961836	7.593260797439962e-05
ABCD1P3	0.019504504504504513	0.5433622007313461
ABCD1P4	0.002344992050874406	0.9214296450990753
ABCD1P5	-0.15917329093799681	0.10056543969367916
ABCD2	-0.2214255431902492	0.029740058782833607
ABCD3	0.17512983571806906	0.005613395215013181
ABCD4	0.039976152623209416	0.2781205225247039
ABCE1	0.6007737148913588	1.3169163989017904e-20
ABCF1	0.4143375728669785	1.1085575377122021e-16
ABCF2	0.6438341282458975	2.3209925255637552e-26
ABCF2P1	0.0035294117647058365	0.9695772851494645
ABCF2P2	0.016216216216216217	0.1747995591985897
ABCF3	0.233751987281396	1.4820140837058855e-09
ABCG1	-0.8376523582405877	2.680466562978515e-18
ABCG2	-1.914374668786432	3.874566122945717e-50
ABCG4	0.2890461049284574	0.03499930561549142
ABCG5	-1.026446740858505	1.2427194778679826e-11
ABCG8	-0.3518441971383153	1.1946899150266968e-05
ABHD1	0.37760466348701494	0.00016283587647970317
ABHD10	0.1110042395336528	0.030067902852680527
ABHD11	1.1145680975092755	2.7019000440477602e-36
ABHD11-AS1	0.5971542130365668	2.8958907325881887e-05
ABHD12	0.3233333333333377	3.166999988756828e-07
ABHD12B	-1.0476391096979327	1.7898290169431685e-10
ABHD13	-0.24643349231584644	2.722441663445662e-07
ABHD14A	-0.18129570747217905	0.0010773421761027246
ABHD14A-ACY1	0.11736883942766285	0.5742646602667335
ABHD14B	-0.12630630630630613	0.04137843570941946
ABHD15	0.2719899311075764	3.841201241019591e-08
ABHD15-AS1	0.0	
ABHD16A	0.1609856915739254	0.0029927333336351985
ABHD16B	0.1154954954954955	0.10814325453366783
ABHD17A	-0.28461049284578976	1.946624285266803e-08
ABHD17AP1	0.9336486486486475	1.645900505116569e-12
ABHD17AP3	1.9954107048224694	1.0888216940075553e-30
ABHD17AP4	0.18335718071012186	0.17560025651059638
ABHD17AP5	0.47730789613142555	0.002125622180522454
ABHD17AP6	0.009984101748807817	0.9441384216942232
ABHD17AP7	0.0	
ABHD17AP8	0.0	
ABHD17AP9	0.0	
ABHD17B	-0.16112877583466023	0.0005998898422985338
ABHD17C	0.7359777424483287	3.50958130251458e-11
ABHD18	0.0633174350821406	0.04502228526694855
ABHD2	-0.30488871224165415	2.3682565261532268e-05
ABHD3	0.1167302596714368	0.06130517811985105
ABHD4	0.43166136724960324	7.166162654214738e-11
ABHD5	-0.8714944356120817	6.196932722525918e-29
ABHD6	-1.1925384207737117	1.3569683157316323e-45
ABHD8	-0.11267090620031972	0.04106863142018042
ABI1	-0.09527291997880027	0.026996466750025278
ABI1P1	0.4806014838367778	0.00017941585993608397
ABI2	-0.29760201377848006	7.798039211315325e-13
ABI3	-0.6307180710121898	2.0691628695523693e-15
ABI3BP	-2.60995230524642	3.9742072295073374e-64
ABITRAM	0.09198463169051507	0.1086769183413481
ABITRAMP1	-0.2582909379968203	0.003106223589743282
ABL1	0.040235824059351444	0.4054781891597785
ABL2	0.1726603073661881	0.018689340917730234
ABLIM1	-1.1141971383147862	7.730611096142139e-27
ABLIM2	-0.31475887652358026	0.0017557662708995712
ABLIM3	-1.78115527291998	6.145608231781544e-50
ABO	0.4227901430842591	0.008759084171521174
ABR	-0.1975967143614259	0.0004572329473440098
ABRA	-1.1592819289878102	1.26712493087026e-16
ABRACL	0.7295336512983592	3.964613855170062e-18
ABRAXAS1	-0.24116852146264023	6.4642186822526806e-09
ABRAXAS2	0.056558028616857214	0.15253747719291247
ABT1	0.27135400105988694	6.110059273858507e-09
ABT1P1	0.5161102278749334	1.7681305078664216e-09
ABTB1	-0.854811870694224	6.24057344115682e-31
ABTB2	0.7211181770005286	4.477362313867281e-13
AC000029.2	-0.254093799682035	0.015777840188414244
AC000032.1	-0.013619501854795768	0.9322695498882834
AC000035.1	-0.0016136724960254378	0.9001029361014041
AC000036.1	-2.450151033386327	3.810514880649362e-35
AC000041.1	0.08470323264440904	0.6965496445512182
AC000050.1	0.0	
AC000050.3	-1.8995151033386326	1.6622846426596255e-37
AC000058.1	-0.49897191308956046	1.516272850880388e-05
AC000061.1	-0.21772390037095923	0.1021667256278752
AC000065.1	-0.34573131955484904	0.00041754994982879344
AC000065.2	-0.5185294117647068	1.553106547396682e-08
AC000067.1	0.10431637519872813	0.08659135691663045
AC000068.1	0.2195257021727608	0.005272003669536452
AC000068.2	0.1451033386327496	0.09313038574602842
AC000068.3	0.21878113407525213	0.0005124165561318526
AC000072.1	-0.0114705882352939	0.916790307816502
AC000077.1	0.009909909909909911	0.3389486865998252
AC000078.1	-0.22695283518812825	0.006559287503355529
AC000081.1	0.3469024907260202	0.0014561291564424482
AC000081.2	0.02702702702702702	0.09863828541023545
AC000082.1	-2.5524695283518803	4.042303072056281e-39
AC000085.1	-0.5297694753577109	0.0003755689220554471
AC000089.1	0.7668203497615265	6.876658699656185e-08
AC000093.1	0.3255935347111807	0.0035213375204113146
AC000095.1	0.14090355060943316	0.4563687252047199
AC000095.2	0.31335188129305774	3.839666288657038e-06
AC000095.3	-0.20701377848436575	0.17163805759202969
AC000111.1	-0.5459989401165872	0.00015360688271619303
AC000111.2	-0.4650582935877051	0.0004224695318800191
AC000113.1	0.23214626391096976	0.007115571921979305
AC000114.1	0.00837837837837838	0.338948686599825
AC000120.1	-0.0044992050874403805	0.9142616264854997
AC000120.2	-0.08642024377318691	0.0814515295441415
AC000120.3	0.029886062533120317	0.6135794458162537
AC000120.4	-0.30993375728669914	0.08768507976494334
AC000123.1	-0.24339427662957114	0.0010226281229835366
AC000123.2	-0.21262851086380508	0.0005842429850490454
AC000123.3	-0.16548489666136668	0.0007079664391566547
AC000124.1	-0.24736618971913082	0.05986260580358292
AC000362.1	-0.571295707472178	5.285713045069587e-07
AC000367.1	-0.337228404875463	0.009934734681875685
AC000372.1	-0.00980392156862745	0.2979554779188764
AC000374.1	-0.7078404875463704	2.8599515170923125e-05
AC000403.1	-0.5752888182299944	3.2511436372398187e-09
AC001226.1	-0.4924218335983048	1.4857728608656856e-05
AC001226.2	0.6129729729729732	0.03732780090030674
AC002044.1	-0.0005007949125596239	0.9883692949671126
AC002044.2	-0.15963434022257417	0.0487329217957057
AC002044.3	-0.14195283518812918	0.09528757476999242
AC002056.1	-0.23410174880763113	0.02733426696621054
AC002056.2	-0.20692898781134084	0.06309237740882268
AC002057.1	-0.37373078961314254	0.000959334025781571
AC002057.2	-0.5943481717011128	8.701143657134381e-05
AC002059.1	0.15298887122416582	0.250254203091406
AC002059.2	0.0	
AC002059.3	0.2270031796502403	0.004033130878754201
AC002064.1	0.0090990990990991	0.33894868659982497
AC002064.2	-1.3078961314255437	3.2001813409927616e-18
AC002064.3	-0.22490196078431368	0.053293627361873756
AC002064.4	0.13358505564387912	0.18367279111908918
AC002066.1	-1.9676762056173827	3.919312204419842e-32
AC002069.1	0.0090990990990991	0.33894868659982497
AC002069.2	0.4122284048754645	4.803172457577724e-07
AC002069.3	0.7922999470058293	8.536189734166439e-08
AC002069.4	0.82947270800212	1.0174786971484416e-07
AC002070.1	0.03935612082670836	0.7341827639309368
AC002072.1	-0.07475887652358004	0.006428295334351022
AC002073.1	0.0722072072072072	0.032857858994204764
AC002074.1	-0.9326338102808687	4.3761928108955407e-17
AC002074.2	-0.09436406995230517	0.4198355701462877
AC002075.1	2.9185903550609433	1.3125572480521249e-25
AC002075.2	1.5024032856385796	1.441714135532452e-17
AC002076.1	0.9664096449390567	1.7903260993272445e-09
AC002076.2	0.016396396396396395	0.1747725746466244
AC002090.1	0.8419130895601484	1.76233339477937e-08
AC002091.1	-0.6074536301006885	5.009014772222045e-06
AC002091.2	-0.6024933757286695	1.2654641013773196e-06
AC002094.1	0.12006624271330102	0.6430869690770566
AC002094.2	-0.025686274509803923	0.1480328714393725
AC002094.3	0.03284843667196613	0.7933210579671236
AC002094.4	-0.31074191838897747	0.01126630575054538
