gene	neglog10p
LPAR1	7.096910013008056
LPCAT1	5.221848749616356
LRFN1	5.3979400086720375
LRRC2	5.221848749616356
MALRD1	5.522878745280337
MAP3K1	11.397940008672036
MATN1	5.698970004336019
MCCD1P1	5.522878745280337
MCRIP2P2	5.522878745280337
MDGA2	5.522878745280337
MECOM	6.698970004336019
MICAL2	5.522878745280337
MICC	6.301029995663981
MIGA1	6.522878745280337
MINDY4	5.3979400086720375
MIR3939	5.3979400086720375
MIR3974	5.3979400086720375
MIR4425	5.0
MIR4454	9.69897000433602
MIR4457	28.0
MIR4689	7.397940008672037
MIR548BAHG	5.154901959985743
MIR5702	5.3979400086720375
MLLT3	5.3979400086720375
MOG	6.045757490560675
MORF4L1	8.522878745280337
MPHOSPH6	9.0
MPZL2	15.221848749616356
MPZL3	25.69897000433602
MRPS18BP2	6.522878745280337
MTAP	18.522878745280337
MTCO2P25	5.301029995663981
MTCO3P1	7.221848749616356
MTCYBP36	5.096910013008056
MTUS1	5.522878745280337
MTX1	6.698970004336019
MUSK	7.096910013008056
MXRA8	9.30102999566398
MYEOV	13.397940008672036
MYNN	11.69897000433602
NAALADL2	5.522878745280337
NAF1	9.69897000433602
NCOA1	5.045757490560675
NDUFB5P1	5.221848749616356
NEK10	8.698970004336019
NFATC1	5.301029995663981
NKAIN2	5.221848749616356
NKD2	7.0
NLRP1	6.0
NMNAT1P2	6.3979400086720375
NOP56P1	7.698970004336019
NRG1	19.221848749616356
NRXN1-DT	5.698970004336019
NTM	5.698970004336019
NUDT9P1	5.698970004336019
NUMBL	5.154901959985743
NWD2	6.154901959985743
NXPH1	7.096910013008056
NYAP2	5.3979400086720375
OLFM3	5.522878745280337
OR52T1P	5.698970004336019
P2RY6	5.698970004336019
PALM	8.522878745280337
PARVA	5.522878745280337
PAX7	5.698970004336019
PDCD6P1	6.0
PDE3A	5.522878745280337
PDGFC	7.397940008672037
PDGFDDN	7.522878745280337
PGR-AS1	5.045757490560675
PHLDB1	6.0
PIK3CB	19.221848749616356
PIP4K2A	5.045757490560675
PNPT1P2	5.522878745280337
POLR1H	5.301029995663981
POLR1HASP	5.522878745280337
POT1-AS1	10.0
PRDM6	6.045757490560675
PRIM2BP	5.096910013008056
PSMA4	81.52287874528034
PVT1	6.0
RAB31	6.0
RAD51B	9.522878745280336
RAI14-DT	5.045757490560675
RALY	7.698970004336019
RASSF3	6.221848749616356
RELB	5.221848749616356
RERGL	5.154901959985743
RFX3-DT	5.3979400086720375
RFX7	8.096910013008056
RN7SKP101	5.3979400086720375
RN7SKP277	5.522878745280337
RN7SL151P	18.522878745280337
RN7SL423P	6.045757490560675
RN7SL569P	5.096910013008056
RNA5SP144	5.301029995663981
RNA5SP173	5.221848749616356
RNA5SP178	6.0
RNASET2	5.3979400086720375
RNF217-AS1	5.221848749616356
RNFT1P2	6.3979400086720375
RNLS	7.0
RNU4-37P	7.0
RNU6-102P	9.154901959985745
RNU6-351P	10.0
RNU6-471P	5.522878745280337
RNU6-637P	15.69897000433602
RNU6-675P	5.154901959985743
RNU6-745P	6.221848749616356
RNU6-778P	5.301029995663981
RNU6-788P	5.698970004336019
RNU6-832P	5.301029995663981
RNU6-842P	5.221848749616356
RNY4	5.096910013008056
ROBO2	5.522878745280337
ROR1	5.154901959985743
RPL10L	5.522878745280337
RPL12P6	10.045757490560677
RPL17P25	5.221848749616356
RPL9P13	6.522878745280337
RPPH1-3P	7.397940008672037
RPS19P6	5.221848749616356
RPS20P25	5.221848749616356
RPS2P1	8.522878745280337
RPS2P18	5.698970004336019
RPS3AP1	5.221848749616356
RPSAP72	5.221848749616356
RTEL1	15.522878745280336
RTEL1-TNFRSF6B	15.522878745280336
RUNX1	5.0
RYR1	5.154901959985743
SAMD5	6.0
SASH1	6.0
SATB1	5.221848749616356
SBF2	5.698970004336019
SBK2	5.3979400086720375
SDHAP3	6.0
SDHDP3	8.301029995663981
SECISBP2L	28.221848749616356
SEMA3C	5.3979400086720375
SEMA6D	5.3979400086720375
SETP16	7.698970004336019
SFTPB	7.698970004336019
SGO1-AS1	5.0
SH2B3	6.0
SLC12A7	7.0
SLC1A3-AS1	5.698970004336019
SLC24A2	5.3979400086720375
SLC52A1	5.301029995663981
SLC7A15P	5.698970004336019
SLK	16.69897000433602
SMIM13	6.221848749616356
SMIM38	13.397940008672036
SPRED2	11.522878745280336
SSC5D	5.3979400086720375
STIM2	5.698970004336019
STN1	16.69897000433602
SUMO2P1	6.045757490560675
SVIP	5.096910013008056
SYNE1	5.096910013008056
SYNGR2	6.0
TANK-AS1	6.045757490560675
TASP1	6.698970004336019
TBC1D5	5.221848749616356
TEKT5	6.221848749616356
TENM3-AS1	5.301029995663981
TERC	15.69897000433602
TERT	109.69897000433602
TET2	10.0
TET3	5.154901959985743
TEX51	5.154901959985743
TFPI	5.221848749616356
THORLNC	6.154901959985743
TIMM17BP1	5.301029995663981
TLDC2	5.3979400086720375
TLE3	6.221848749616356
TMEM218	5.221848749616356
TMEM250	5.3979400086720375
